,source,target,total,count,source_num,target_num
497,sepehrnoori kamy,yu wei,sepehrnoori kamy yu wei,7,2427,264
496,yu wei,sepehrnoori kamy,yu wei sepehrnoori kamy,7,264,2427
5064,zamiran s.,osouli a.,zamiran s. osouli a.,4,1249,241
1574,mutlu uno,safari reza,mutlu uno safari reza,4,1675,1922
246,irani mazda,ghannadi sahar,irani mazda ghannadi sahar,4,3100,1669
11238,bauer a.,holt r.m.,bauer a. holt r.m.,4,1353,798
11234,holt r.m.,bauer a.,holt r.m. bauer a.,4,798,1353
5224,gui feng,rahman khalil,gui feng rahman khalil,4,579,2070
5222,rahman khalil,gui feng,rahman khalil gui feng,4,2070,579
1567,safari reza,mutlu uno,safari reza mutlu uno,4,1922,1675
5069,osouli a.,zamiran s.,osouli a. zamiran s.,4,241,1249
244,ghannadi sahar,irani mazda,ghannadi sahar irani mazda,4,1669,3100
9926,ling kegang,he jun,ling kegang he jun,4,202,345
9936,he jun,ling kegang,he jun ling kegang,4,345,202
86,habashy tarek,chen yong-hua,habashy tarek chen yong-hua,3,1201,2168
87,habashy tarek,omeragic dzevat,habashy tarek omeragic dzevat,3,1201,2987
74,chen yong-hua,omeragic dzevat,chen yong-hua omeragic dzevat,3,2168,2987
2525,sheibani f.,zhang f.,sheibani f. zhang f.,3,2969,513
2522,sheibani f.,nagel n.,sheibani f. nagel n.,3,2969,2077
2521,nagel n.,zhang f.,nagel n. zhang f.,3,2077,513
75,chen yong-hua,habashy tarek,chen yong-hua habashy tarek,3,2168,1201
80,omeragic dzevat,chen yong-hua,omeragic dzevat chen yong-hua,3,2987,2168
2518,nagel n.,sheibani f.,nagel n. sheibani f.,3,2077,2969
2480,roegiers jean-claude,jin xiaochun,roegiers jean-claude jin xiaochun,3,2934,2261
81,omeragic dzevat,habashy tarek,omeragic dzevat habashy tarek,3,2987,1201
2322,moridis george j.,kim jihoon,moridis george j. kim jihoon,3,1398,2364
2319,kim jihoon,moridis george j.,kim jihoon moridis george j.,3,2364,1398
2534,zhang f.,nagel n.,zhang f. nagel n.,3,513,2077
2475,jin xiaochun,roegiers jean-claude,jin xiaochun roegiers jean-claude,3,2261,2934
5223,rahman khalil,he wei,rahman khalil he wei,3,2070,2921
5225,gui feng,he wei,gui feng he wei,3,579,2921
2535,zhang f.,sheibani f.,zhang f. sheibani f.,3,513,2969
5227,he wei,gui feng,he wei gui feng,3,2921,579
5226,he wei,rahman khalil,he wei rahman khalil,3,2921,2070
12310,oke j.,vlachopoulos n.,oke j. vlachopoulos n.,3,2793,937
376,wu yu-shu,wang cong,wu yu-shu wang cong,3,180,155
386,wang cong,wu yu-shu,wang cong wu yu-shu,3,155,180
10054,mutlu uno,huang jian,mutlu uno huang jian,3,1675,675
10048,safari reza,huang jian,safari reza huang jian,3,1922,675
1940,karimi moji,salehi saeed,karimi moji salehi saeed,3,2675,659
10043,huang jian,mutlu uno,huang jian mutlu uno,3,675,1675
1935,salehi saeed,karimi moji,salehi saeed karimi moji,3,659,2675
10042,huang jian,safari reza,huang jian safari reza,3,675,1922
5028,sepehrnoori kamy,aybar umut,sepehrnoori kamy aybar umut,3,2427,1062
5023,aybar umut,sepehrnoori kamy,aybar umut sepehrnoori kamy,3,1062,2427
15944,espinosa guillermo arturo alzate,agudelo abel de jesus naranjo,espinosa guillermo arturo alzate agudelo abel de jesus naranjo,3,548,2027
12312,vlachopoulos n.,oke j.,vlachopoulos n. oke j.,3,937,2793
15939,agudelo abel de jesus naranjo,espinosa guillermo arturo alzate,agudelo abel de jesus naranjo espinosa guillermo arturo alzate,3,2027,548
8217,herron susan,polyakov marina,herron susan polyakov marina,3,2674,174
8211,saldungaray pablo,polyakov marina,saldungaray pablo polyakov marina,3,1791,174
8223,polyakov marina,herron susan,polyakov marina herron susan,3,174,2674
8216,herron susan,saldungaray pablo,herron susan saldungaray pablo,3,2674,1791
8210,saldungaray pablo,herron susan,saldungaray pablo herron susan,3,1791,2674
8222,polyakov marina,saldungaray pablo,polyakov marina saldungaray pablo,3,174,1791
1568,karimi moji,shahri mojtaba p.,karimi moji shahri mojtaba p.,2,2675,2106
5448,grigoryev maxim,shirshov anton,grigoryev maxim shirshov anton,2,1914,1374
2980,gonzales v.,mata d.,gonzales v. mata d.,2,3007,2552
2981,gonzales v.,cherian b.,gonzales v. cherian b.,2,3007,322
5717,korelsky evgeny,belyaev aleksey,korelsky evgeny belyaev aleksey,2,2160,861
5722,zadvornov dmitry,glebov evgeny,zadvornov dmitry glebov evgeny,2,2997,1239
5721,korelsky evgeny,gainullin marat,korelsky evgeny gainullin marat,2,2160,2644
5723,zadvornov dmitry,shokarev ivan,zadvornov dmitry shokarev ivan,2,2997,905
5720,korelsky evgeny,kovalev alexey,korelsky evgeny kovalev alexey,2,2160,3133
5447,grigoryev maxim,belyaev aleksey,grigoryev maxim belyaev aleksey,2,1914,861
5719,korelsky evgeny,shakirov eduard,korelsky evgeny shakirov eduard,2,2160,672
2977,cherian b.,gonzales v.,cherian b. gonzales v.,2,322,3007
5718,korelsky evgeny,shirshov anton,korelsky evgeny shirshov anton,2,2160,1374
5471,gulov artur,makhambetov amangeldy,gulov artur makhambetov amangeldy,2,2410,1053
5716,korelsky evgeny,leontyev dmitry,korelsky evgeny leontyev dmitry,2,2160,2126
5724,zadvornov dmitry,boroday aleksey,zadvornov dmitry boroday aleksey,2,2997,3145
1550,garza ramon,liu bairu,garza ramon liu bairu,2,1682,2295
5708,korelsky evgeny,zadvornov dmitry,korelsky evgeny zadvornov dmitry,2,2160,2997
5709,korelsky evgeny,zavarygin sergey,korelsky evgeny zavarygin sergey,2,2160,1589
5710,korelsky evgeny,sulimov dmitry,korelsky evgeny sulimov dmitry,2,2160,245
5711,korelsky evgeny,kuzakov vitaly,korelsky evgeny kuzakov vitaly,2,2160,1982
5712,korelsky evgeny,alexandrova anna,korelsky evgeny alexandrova anna,2,2160,396
5713,korelsky evgeny,perkshev dmitry,korelsky evgeny perkshev dmitry,2,2160,2092
1551,garza ramon,sadana anil,garza ramon sadana anil,2,1682,50
1558,shahri mojtaba p.,karimi moji,shahri mojtaba p. karimi moji,2,2106,2675
1552,liu bairu,garza ramon,liu bairu garza ramon,2,2295,1682
1553,liu bairu,sadana anil,liu bairu sadana anil,2,2295,50
1554,sadana anil,garza ramon,sadana anil garza ramon,2,50,1682
1555,sadana anil,liu bairu,sadana anil liu bairu,2,50,2295
5714,korelsky evgeny,makhambetov amangeldy,korelsky evgeny makhambetov amangeldy,2,2160,1053
5715,korelsky evgeny,urmantseva lena,korelsky evgeny urmantseva lena,2,2160,3094
2976,cherian b.,mata d.,cherian b. mata d.,2,322,2552
5445,grigoryev maxim,urmantseva lena,grigoryev maxim urmantseva lena,2,1914,3094
5446,grigoryev maxim,leontyev dmitry,grigoryev maxim leontyev dmitry,2,1914,2126
1590,marck julien,detournay emmanuel,marck julien detournay emmanuel,2,54,1985
5747,zadvornov dmitry,kovalev alexey,zadvornov dmitry kovalev alexey,2,2997,3133
5746,zadvornov dmitry,shakirov eduard,zadvornov dmitry shakirov eduard,2,2997,672
5444,grigoryev maxim,makhambetov amangeldy,grigoryev maxim makhambetov amangeldy,2,1914,1053
5745,zadvornov dmitry,shirshov anton,zadvornov dmitry shirshov anton,2,2997,1374
5744,zadvornov dmitry,belyaev aleksey,zadvornov dmitry belyaev aleksey,2,2997,861
5743,zadvornov dmitry,leontyev dmitry,zadvornov dmitry leontyev dmitry,2,2997,2126
5742,zadvornov dmitry,urmantseva lena,zadvornov dmitry urmantseva lena,2,2997,3094
10840,shen xinpu,shen guoyang,shen xinpu shen guoyang,2,1847,2781
5741,zadvornov dmitry,makhambetov amangeldy,zadvornov dmitry makhambetov amangeldy,2,2997,1053
10838,shen guoyang,shen xinpu,shen guoyang shen xinpu,2,2781,1847
5740,zadvornov dmitry,perkshev dmitry,zadvornov dmitry perkshev dmitry,2,2997,2092
1593,detournay emmanuel,marck julien,detournay emmanuel marck julien,2,1985,54
5739,zadvornov dmitry,alexandrova anna,zadvornov dmitry alexandrova anna,2,2997,396
5738,zadvornov dmitry,kuzakov vitaly,zadvornov dmitry kuzakov vitaly,2,2997,1982
5737,zadvornov dmitry,sulimov dmitry,zadvornov dmitry sulimov dmitry,2,2997,245
5706,korelsky evgeny,petrakov yuri,korelsky evgeny petrakov yuri,2,2160,2145
5736,zadvornov dmitry,zavarygin sergey,zadvornov dmitry zavarygin sergey,2,2997,1589
5735,zadvornov dmitry,korelsky evgeny,zadvornov dmitry korelsky evgeny,2,2997,2160
5734,zadvornov dmitry,sobolev aleksey,zadvornov dmitry sobolev aleksey,2,2997,680
5733,zadvornov dmitry,petrakov yuri,zadvornov dmitry petrakov yuri,2,2997,2145
5732,zadvornov dmitry,yakovlev alexander,zadvornov dmitry yakovlev alexander,2,2997,339
5731,zadvornov dmitry,ablaev anton,zadvornov dmitry ablaev anton,2,2997,1572
