,source,target,total,count,source_num,target_num
2730,tu bergakademie freiberg iec,ukhta state technical u hse department,tu bergakademie freiberg iec ukhta state technical u hse department,8,683,675
2742,gazprom neft orenburg cjsc,weatherford llc,gazprom neft orenburg cjsc weatherford llc,8,109,793
2746,weatherford llc,gazprom neft orenburg cjsc,weatherford llc gazprom neft orenburg cjsc,8,793,109
2991,state key laboratory of petroleum resources and prospecting china university of petroleum beijing,petrochina jidong oilfield company,state key laboratory of petroleum resources and prospecting china university of petroleum beijing petrochina jidong oilfield company,8,770,316
3008,petrochina jidong oilfield company,state key laboratory of petroleum resources and prospecting china university of petroleum beijing,petrochina jidong oilfield company state key laboratory of petroleum resources and prospecting china university of petroleum beijing,8,316,770
3110,csiro,school of mechanical and mining engineering the university of queensland,csiro school of mechanical and mining engineering the university of queensland,8,865,15
7158,china university of mining and technology (beijing),kailuan group (limited) ltd-yuzhou coal mining company,china university of mining and technology (beijing) kailuan group (limited) ltd-yuzhou coal mining company,8,393,88
6716,university of colorado,los alamos national laboratory,university of colorado los alamos national laboratory,8,821,158
7308,halliburton,chesapeake,halliburton chesapeake,8,588,92
1794,oregon state university,fracgeo,oregon state university fracgeo,8,608,713
1792,fracgeo,oregon state university,fracgeo oregon state university,8,713,608
4511,baker hughes,cairo university,baker hughes cairo university,8,421,313
4514,cairo university,baker hughes,cairo university baker hughes,8,313,421
4534,schlumberger,institute of computational technologies sbras,schlumberger institute of computational technologies sbras,8,287,727
4546,saudi aramco,institute of computational technologies sbras,saudi aramco institute of computational technologies sbras,8,595,727
4556,institute of computational technologies sbras,schlumberger,institute of computational technologies sbras schlumberger,8,727,287
2281,bashkir state university,rn-ufanipineft,bashkir state university rn-ufanipineft,8,490,106
7300,chesapeake,halliburton,chesapeake halliburton,8,92,588
7166,kailuan group (limited) ltd-yuzhou coal mining company,china university of mining and technology (beijing),kailuan group (limited) ltd-yuzhou coal mining company china university of mining and technology (beijing),8,88,393
4558,institute of computational technologies sbras,saudi aramco,institute of computational technologies sbras saudi aramco,8,727,595
6720,los alamos national laboratory,university of colorado,los alamos national laboratory university of colorado,8,158,821
904,ryder scott company,univ. of houston,ryder scott company univ. of houston,8,310,126
568,school of chemical engineering oklahoma state university stillwater ok 74078,chevron houston,school of chemical engineering oklahoma state university stillwater ok 74078 chevron houston,8,75,5
881,the university of texas at austin,china university of petroleum beijing,the university of texas at austin china university of petroleum beijing,8,21,225
355,,schlumberger, schlumberger,8,0,287
367,schlumberger,,schlumberger ,8,287,0
56,maxwell dynamics,bp america,maxwell dynamics bp america,8,494,785
