,source,target,total,count,source_num,target_num
17180,mainali pukar,morrell austin,mainali pukar morrell austin,3,307,160
10014,yang liu,shi xian,yang liu shi xian,3,3287,1941
17164,morrell austin,narasimhan santhosh,morrell austin narasimhan santhosh,3,160,770
3217,temizel cenk,jia bao,temizel cenk jia bao,3,124,1413
17167,morrell austin,mainali pukar,morrell austin mainali pukar,3,160,307
9247,dong jingnan,jin yan,dong jingnan jin yan,3,775,3290
3224,jia bao,temizel cenk,jia bao temizel cenk,3,1413,124
17161,morrell austin,rowe harry,morrell austin rowe harry,3,160,2309
10001,shi xian,yang liu,shi xian yang liu,3,1941,3287
17178,mainali pukar,narasimhan santhosh,mainali pukar narasimhan santhosh,3,307,770
116,sepehrnoori kamy,wu kan,sepehrnoori kamy wu kan,3,2428,1482
9388,liu kouqi,ostadhassan mehdi,liu kouqi ostadhassan mehdi,3,736,2729
13174,xiao j.,xue j.,xiao j. xue j.,3,1232,19
17175,mainali pukar,rowe harry,mainali pukar rowe harry,3,307,2309
6558,chen zhangxin,fogwill allan,chen zhangxin fogwill allan,3,3284,157
3201,abdulraheem a.,mahmoud m. a.,abdulraheem a. mahmoud m. a.,3,2960,1539
112,wu kan,sepehrnoori kamy,wu kan sepehrnoori kamy,3,1482,2428
3183,elkatatny s. m.,abdulraheem a.,elkatatny s. m. abdulraheem a.,3,2125,2960
3188,mahmoud m. a.,abdulraheem a.,mahmoud m. a. abdulraheem a.,3,1539,2960
13170,xue j.,xiao j.,xue j. xiao j.,3,19,1232
6556,chen zhangxin,zhan jie,chen zhangxin zhan jie,3,3284,1735
17153,narasimhan santhosh,mainali pukar,narasimhan santhosh mainali pukar,3,770,307
3200,abdulraheem a.,elkatatny s. m.,abdulraheem a. elkatatny s. m.,3,2960,2125
6537,fogwill allan,chen zhangxin,fogwill allan chen zhangxin,3,157,3284
2459,izadi ghazal,cruz leonardo,izadi ghazal cruz leonardo,3,292,1893
12160,xu n. w.,dai f.,xu n. w. dai f.,3,3281,22
17130,rowe harry,morrell austin,rowe harry morrell austin,3,2309,160
17128,rowe harry,narasimhan santhosh,rowe harry narasimhan santhosh,3,2309,770
10642,jin y.,hou b.,jin y. hou b.,3,252,43
12227,wang h. f.,dobson p. f.,wang h. f. dobson p. f.,3,2769,3000
12226,wang h. f.,oldenburg c. m.,wang h. f. oldenburg c. m.,3,2769,2543
10647,hou b.,jin y.,hou b. jin y.,3,43,252
12221,dobson p. f.,wang h. f.,dobson p. f. wang h. f.,3,3000,2769
9609,mao sheng,qingling liu,mao sheng qingling liu,3,668,1991
12220,dobson p. f.,oldenburg c. m.,dobson p. f. oldenburg c. m.,3,3000,2543
2464,cruz leonardo,izadi ghazal,cruz leonardo izadi ghazal,3,1893,292
12207,doe t. w.,oldenburg c. m.,doe t. w. oldenburg c. m.,3,643,2543
12208,doe t. w.,dobson p. f.,doe t. w. dobson p. f.,3,643,3000
12219,dobson p. f.,doe t. w.,dobson p. f. doe t. w.,3,3000,643
12213,oldenburg c. m.,doe t. w.,oldenburg c. m. doe t. w.,3,2543,643
12214,oldenburg c. m.,dobson p. f.,oldenburg c. m. dobson p. f.,3,2543,3000
12155,dai f.,xu n. w.,dai f. xu n. w.,3,22,3281
17132,rowe harry,mainali pukar,rowe harry mainali pukar,3,2309,307
9574,qingling liu,shouceng tian,qingling liu shouceng tian,3,1991,688
17151,narasimhan santhosh,morrell austin,narasimhan santhosh morrell austin,3,770,160
9575,qingling liu,gensheng li,qingling liu gensheng li,3,1991,3245
18831,yang baohong,xu bin,yang baohong xu bin,3,868,188
18830,yang baohong,yuan yanguang,yang baohong yuan yanguang,3,868,625
18829,xu bin,yang baohong,xu bin yang baohong,3,188,868
9392,ostadhassan mehdi,liu kouqi,ostadhassan mehdi liu kouqi,3,2729,736
18827,yuan yanguang,yang baohong,yuan yanguang yang baohong,3,625,868
18826,yuan yanguang,xu bin,yuan yanguang xu bin,3,625,188
9578,qingling liu,mao sheng,qingling liu mao sheng,3,1991,668
13337,holt r. m.,larsen i.,holt r. m. larsen i.,3,610,1779
9581,shouceng tian,qingling liu,shouceng tian qingling liu,3,688,1991
6532,fogwill allan,zhan jie,fogwill allan zhan jie,3,157,1735
17147,narasimhan santhosh,rowe harry,narasimhan santhosh rowe harry,3,770,2309
9588,gensheng li,qingling liu,gensheng li qingling liu,3,3245,1991
6525,zhan jie,chen zhangxin,zhan jie chen zhangxin,3,1735,3284
6521,zhan jie,fogwill allan,zhan jie fogwill allan,3,1735,157
13340,larsen i.,holt r. m.,larsen i. holt r. m.,3,1779,610
18828,xu bin,yuan yanguang,xu bin yuan yanguang,3,188,625
12215,oldenburg c. m.,wang h. f.,oldenburg c. m. wang h. f.,3,2543,2769
10773,woldeamanuel m.,mahmoud m. a.,woldeamanuel m. mahmoud m. a.,3,2843,1539
1598,zhang yang,yang xiangtong,zhang yang yang xiangtong,3,3046,2057
3098,wang lizhi,pan yuanwei,wang lizhi pan yuanwei,3,1454,2738
9430,atashnezhad a.,hareland g.,atashnezhad a. hareland g.,3,2391,3189
17192,sondergeld carl h.,rai chandra s.,sondergeld carl h. rai chandra s.,3,3124,439
16571,costello ian,thomas mandy,costello ian thomas mandy,3,1485,3238
1606,zhang yang,fan wentong,zhang yang fan wentong,3,3046,2679
17195,rai chandra s.,sondergeld carl h.,rai chandra s. sondergeld carl h.,3,439,3124
1647,fan wentong,zhang yang,fan wentong zhang yang,3,2679,3046
9427,akhtarmanesh s.,hareland g.,akhtarmanesh s. hareland g.,3,541,3189
16534,thomas mandy,costello ian,thomas mandy costello ian,3,3238,1485
3104,wang lizhi,qiu kaibin,wang lizhi qiu kaibin,3,1454,2419
3065,pan yuanwei,wang lizhi,pan yuanwei wang lizhi,3,2738,1454
9425,kong lingyun,ostadhassan mehdi,kong lingyun ostadhassan mehdi,3,1179,2729
15896,hunt c. h. e.,price j. a.,hunt c. h. e. price j. a.,3,1951,1537
2295,olson jon e.,lee hunjoo p.,olson jon e. lee hunjoo p.,3,581,729
2294,olson jon e.,razavi omid,olson jon e. razavi omid,3,581,824
9423,ostadhassan mehdi,kong lingyun,ostadhassan mehdi kong lingyun,3,2729,1179
10772,woldeamanuel m.,elkatatny s. m.,woldeamanuel m. elkatatny s. m.,3,2843,2125
2292,lee hunjoo p.,olson jon e.,lee hunjoo p. olson jon e.,3,729,581
9433,hareland g.,atashnezhad a.,hareland g. atashnezhad a.,3,3189,2391
9432,hareland g.,akhtarmanesh s.,hareland g. akhtarmanesh s.,3,3189,541
10755,elkatatny s. m.,woldeamanuel m.,elkatatny s. m. woldeamanuel m.,3,2125,2843
3129,qiu kaibin,wang lizhi,qiu kaibin wang lizhi,3,2419,1454
2676,shahri mojtaba p.,huang jian,shahri mojtaba p. huang jian,3,2109,702
9495,ranjith p. g.,perera m. s. a.,ranjith p. g. perera m. s. a.,3,536,1338
2288,razavi omid,lee hunjoo p.,razavi omid lee hunjoo p.,3,824,729
2679,huang jian,shahri mojtaba p.,huang jian shahri mojtaba p.,3,702,2109
1643,fan wentong,yang xiangtong,fan wentong yang xiangtong,3,2679,2057
1565,yang xiangtong,zhang yang,yang xiangtong zhang yang,3,2057,3046
13120,clarke p. l.,abedi r.,clarke p. l. abedi r.,3,1829,2079
2291,lee hunjoo p.,razavi omid,lee hunjoo p. razavi omid,3,729,824
13117,abedi r.,clarke p. l.,abedi r. clarke p. l.,3,2079,1829
9497,perera m. s. a.,ranjith p. g.,perera m. s. a. ranjith p. g.,3,1338,536
10760,mahmoud m. a.,woldeamanuel m.,mahmoud m. a. woldeamanuel m.,3,1539,2843
2289,razavi omid,olson jon e.,razavi omid olson jon e.,3,824,581
1570,yang xiangtong,fan wentong,yang xiangtong fan wentong,3,2057,2679
15898,price j. a.,hunt c. h. e.,price j. a. hunt c. h. e.,3,1537,1951
4050,ashena r.,irawan s.,ashena r. irawan s.,2,3241,125
4049,ashena r.,hamdi z.,ashena r. hamdi z.,2,3241,1013
4046,irawan s.,ashena r.,irawan s. ashena r.,2,125,3241
4048,ashena r.,bataee m.,ashena r. bataee m.,2,3241,952
4045,irawan s.,hamdi z.,irawan s. hamdi z.,2,125,1013
4051,ashena r.,ghassemi m. f.,ashena r. ghassemi m. f.,2,3241,833
4044,irawan s.,bataee m.,irawan s. bataee m.,2,125,952
8498,phillips anthony,savage michael,phillips anthony savage michael,2,2471,264
4047,irawan s.,ghassemi m. f.,irawan s. ghassemi m. f.,2,125,833
4043,hamdi z.,ghassemi m. f.,hamdi z. ghassemi m. f.,2,1013,833
4092,vishnivetskiy a.,leontev i.,vishnivetskiy a. leontev i.,2,3185,2265
4042,hamdi z.,ashena r.,hamdi z. ashena r.,2,1013,3241
4123,kiselev v.,abdrakhimov a.,kiselev v. abdrakhimov a.,2,3051,567
4131,naymushin a.,frolov a.,naymushin a. frolov a.,2,1178,2691
4130,naymushin a.,kiselev v.,naymushin a. kiselev v.,2,1178,3051
4028,biluta maksim,konstantin lezhnev,biluta maksim konstantin lezhnev,2,2822,1540
4029,biluta maksim,tatyana timofeeva,biluta maksim tatyana timofeeva,2,2822,3248
4129,naymushin a.,martynov d.,naymushin a. martynov d.,2,1178,61
4128,naymushin a.,naumov y.,naymushin a. naumov y.,2,1178,1137
4127,naymushin a.,vishnivetskiy a.,naymushin a. vishnivetskiy a.,2,1178,3185
4126,naymushin a.,solovyev t.,naymushin a. solovyev t.,2,1178,2349
4125,kiselev v.,bezikov a.,kiselev v. bezikov a.,2,3051,2514
8508,savage michael,phillips anthony,savage michael phillips anthony,2,264,2471
4124,kiselev v.,korovaychuk y.,kiselev v. korovaychuk y.,2,3051,906
4036,bataee m.,hamdi z.,bataee m. hamdi z.,2,952,1013
4037,bataee m.,irawan s.,bataee m. irawan s.,2,952,125
4116,kiselev v.,solovyev t.,kiselev v. solovyev t.,2,3051,2349
4038,bataee m.,ashena r.,bataee m. ashena r.,2,952,3241
4122,kiselev v.,leontev i.,kiselev v. leontev i.,2,3051,2265
4121,kiselev v.,frolov a.,kiselev v. frolov a.,2,3051,2691
4120,kiselev v.,naymushin a.,kiselev v. naymushin a.,2,3051,1178
4119,kiselev v.,martynov d.,kiselev v. martynov d.,2,3051,61
4039,bataee m.,ghassemi m. f.,bataee m. ghassemi m. f.,2,952,833
4040,hamdi z.,bataee m.,hamdi z. bataee m.,2,1013,952
4118,kiselev v.,naumov y.,kiselev v. naumov y.,2,3051,1137
17129,rowe harry,benson andy,rowe harry benson andy,2,2309,3097
4117,kiselev v.,vishnivetskiy a.,kiselev v. vishnivetskiy a.,2,3051,3185
4052,ghassemi m. f.,bataee m.,ghassemi m. f. bataee m.,2,833,952
4041,hamdi z.,irawan s.,hamdi z. irawan s.,2,1013,125
4115,martynov d.,bezikov a.,martynov d. bezikov a.,2,61,2514
17150,narasimhan santhosh,benson andy,narasimhan santhosh benson andy,2,770,3097
4114,martynov d.,korovaychuk y.,martynov d. korovaychuk y.,2,61,906
4053,ghassemi m. f.,hamdi z.,ghassemi m. f. hamdi z.,2,833,1013
4084,solovyev t.,korovaychuk y.,solovyev t. korovaychuk y.,2,2349,906
4105,naumov y.,bezikov a.,naumov y. bezikov a.,2,1137,2514
11740,lin b.,jin y.,lin b. jin y.,2,2124,252
4085,solovyev t.,bezikov a.,solovyev t. bezikov a.,2,2349,2514
4104,naumov y.,korovaychuk y.,naumov y. korovaychuk y.,2,1137,906
4103,naumov y.,abdrakhimov a.,naumov y. abdrakhimov a.,2,1137,567
4086,vishnivetskiy a.,solovyev t.,vishnivetskiy a. solovyev t.,2,3185,2349
4102,naumov y.,leontev i.,naumov y. leontev i.,2,1137,2265
4101,naumov y.,frolov a.,naumov y. frolov a.,2,1137,2691
4087,vishnivetskiy a.,naumov y.,vishnivetskiy a. naumov y.,2,3185,1137
4100,naumov y.,naymushin a.,naumov y. naymushin a.,2,1137,1178
4099,naumov y.,kiselev v.,naumov y. kiselev v.,2,1137,3051
4027,tatyana timofeeva,biluta maksim,tatyana timofeeva biluta maksim,2,3248,2822
4098,naumov y.,martynov d.,naumov y. martynov d.,2,1137,61
4088,vishnivetskiy a.,martynov d.,vishnivetskiy a. martynov d.,2,3185,61
4089,vishnivetskiy a.,kiselev v.,vishnivetskiy a. kiselev v.,2,3185,3051
4097,naumov y.,vishnivetskiy a.,naumov y. vishnivetskiy a.,2,1137,3185
4096,naumov y.,solovyev t.,naumov y. solovyev t.,2,1137,2349
4095,vishnivetskiy a.,bezikov a.,vishnivetskiy a. bezikov a.,2,3185,2514
4094,vishnivetskiy a.,korovaychuk y.,vishnivetskiy a. korovaychuk y.,2,3185,906
4090,vishnivetskiy a.,naymushin a.,vishnivetskiy a. naymushin a.,2,3185,1178
4091,vishnivetskiy a.,frolov a.,vishnivetskiy a. frolov a.,2,3185,2691
4093,vishnivetskiy a.,abdrakhimov a.,vishnivetskiy a. abdrakhimov a.,2,3185,567
4106,martynov d.,solovyev t.,martynov d. solovyev t.,2,61,2349
4083,solovyev t.,abdrakhimov a.,solovyev t. abdrakhimov a.,2,2349,567
17165,morrell austin,benson andy,morrell austin benson andy,2,160,3097
4110,martynov d.,naymushin a.,martynov d. naymushin a.,2,61,1178
4054,ghassemi m. f.,irawan s.,ghassemi m. f. irawan s.,2,833,125
4055,ghassemi m. f.,ashena r.,ghassemi m. f. ashena r.,2,833,3241
4076,solovyev t.,vishnivetskiy a.,solovyev t. vishnivetskiy a.,2,2349,3185
4113,martynov d.,abdrakhimov a.,martynov d. abdrakhimov a.,2,61,567
1645,fan wentong,teng qi,fan wentong teng qi,2,2679,3109
4077,solovyev t.,naumov y.,solovyev t. naumov y.,2,2349,1137
17179,mainali pukar,benson andy,mainali pukar benson andy,2,307,3097
4112,martynov d.,leontev i.,martynov d. leontev i.,2,61,2265
4078,solovyev t.,martynov d.,solovyev t. martynov d.,2,2349,61
4111,martynov d.,frolov a.,martynov d. frolov a.,2,61,2691
17154,benson andy,rowe harry,benson andy rowe harry,2,3097,2309
4107,martynov d.,vishnivetskiy a.,martynov d. vishnivetskiy a.,2,61,3185
4079,solovyev t.,kiselev v.,solovyev t. kiselev v.,2,2349,3051
4080,solovyev t.,naymushin a.,solovyev t. naymushin a.,2,2349,1178
17157,benson andy,narasimhan santhosh,benson andy narasimhan santhosh,2,3097,770
17158,benson andy,morrell austin,benson andy morrell austin,2,3097,160
4081,solovyev t.,frolov a.,solovyev t. frolov a.,2,2349,2691
17160,benson andy,mainali pukar,benson andy mainali pukar,2,3097,307
4109,martynov d.,kiselev v.,martynov d. kiselev v.,2,61,3051
4082,solovyev t.,leontev i.,solovyev t. leontev i.,2,2349,2265
4108,martynov d.,naumov y.,martynov d. naumov y.,2,61,1137
11743,jin y.,lin b.,jin y. lin b.,2,252,2124
4426,grachev oleg,strakhov sergey,grachev oleg strakhov sergey,2,420,464
3944,krasnova m.,makarova a.,krasnova m. makarova a.,2,169,3065
4026,tatyana timofeeva,konstantin lezhnev,tatyana timofeeva konstantin lezhnev,2,3248,1540
3834,masson l.,hoq a.,masson l. hoq a.,2,2942,3278
3882,arsibekov a.,ezhov k.,arsibekov a. ezhov k.,2,164,920
3881,ezhov k.,dubinya n.,ezhov k. dubinya n.,2,920,2098
3880,ezhov k.,arsibekov a.,ezhov k. arsibekov a.,2,920,164
3837,masson l.,ronald a.,masson l. ronald a.,2,2942,1788
3836,masson l.,smithells s.,masson l. smithells s.,2,2942,903
3835,masson l.,mossop k.,masson l. mossop k.,2,2942,2649
3833,masson l.,naidu r.,masson l. naidu r.,2,2942,1386
3884,dubinya n.,ezhov k.,dubinya n. ezhov k.,2,2098,920
3832,masson l.,rylance m.,masson l. rylance m.,2,2942,2097
3831,ronald a.,masson l.,ronald a. masson l.,2,1788,2942
3830,ronald a.,smithells s.,ronald a. smithells s.,2,1788,903
3829,ronald a.,mossop k.,ronald a. mossop k.,2,1788,2649
3828,ronald a.,hoq a.,ronald a. hoq a.,2,1788,3278
3827,ronald a.,naidu r.,ronald a. naidu r.,2,1788,1386
3883,arsibekov a.,dubinya n.,arsibekov a. dubinya n.,2,164,2098
3885,dubinya n.,arsibekov a.,dubinya n. arsibekov a.,2,2098,164
4025,konstantin lezhnev,biluta maksim,konstantin lezhnev biluta maksim,2,1540,2822
6861,mehrer cody,alexeyev alan,mehrer cody alexeyev alan,2,261,711
6855,said abdulkadir,ostadhassan mehdi,said abdulkadir ostadhassan mehdi,2,3271,2729
6856,said abdulkadir,alexeyev alan,said abdulkadir alexeyev alan,2,3271,711
6857,mehrer cody,anderson jordan,mehrer cody anderson jordan,2,261,3141
6858,mehrer cody,rice joseph,mehrer cody rice joseph,2,261,3252
6859,mehrer cody,said abdulkadir,mehrer cody said abdulkadir,2,261,3271
6860,mehrer cody,ostadhassan mehdi,mehrer cody ostadhassan mehdi,2,261,2729
6862,ostadhassan mehdi,anderson jordan,ostadhassan mehdi anderson jordan,2,2729,3141
6870,alexeyev alan,mehrer cody,alexeyev alan mehrer cody,2,711,261
6863,ostadhassan mehdi,rice joseph,ostadhassan mehdi rice joseph,2,2729,3252
6864,ostadhassan mehdi,said abdulkadir,ostadhassan mehdi said abdulkadir,2,2729,3271
6865,ostadhassan mehdi,mehrer cody,ostadhassan mehdi mehrer cody,2,2729,261
6867,alexeyev alan,anderson jordan,alexeyev alan anderson jordan,2,711,3141
6868,alexeyev alan,rice joseph,alexeyev alan rice joseph,2,711,3252
6869,alexeyev alan,said abdulkadir,alexeyev alan said abdulkadir,2,711,3271
3826,ronald a.,rylance m.,ronald a. rylance m.,2,1788,2097
3825,smithells s.,masson l.,smithells s. masson l.,2,903,2942
3824,smithells s.,ronald a.,smithells s. ronald a.,2,903,1788
3815,mossop k.,naidu r.,mossop k. naidu r.,2,2649,1386
11931,lei q.,salinas p.,lei q. salinas p.,2,1223,1182
11932,lei q.,pavlidis d.,lei q. pavlidis d.,2,1223,2090
11933,lei q.,xiang j.,lei q. xiang j.,2,1223,3190
3816,mossop k.,hoq a.,mossop k. hoq a.,2,2649,3278
1864,soliman mohamed,rezaei ali,soliman mohamed rezaei ali,2,2917,187
1865,soliman mohamed,rafiee mehdi,soliman mohamed rafiee mehdi,2,2917,2532
1867,soliman mohamed,bornia giorgio,soliman mohamed bornia giorgio,2,2917,2366
3823,smithells s.,mossop k.,smithells s. mossop k.,2,903,2649
1868,bornia giorgio,rezaei ali,bornia giorgio rezaei ali,2,2366,187
1869,bornia giorgio,rafiee mehdi,bornia giorgio rafiee mehdi,2,2366,2532
11936,salinas p.,obeysekara a.,salinas p. obeysekara a.,2,1182,394
1871,bornia giorgio,soliman mohamed,bornia giorgio soliman mohamed,2,2366,2917
11937,salinas p.,lei q.,salinas p. lei q.,2,1182,1223
11938,salinas p.,pavlidis d.,salinas p. pavlidis d.,2,1182,2090
1859,rafiee mehdi,bornia giorgio,rafiee mehdi bornia giorgio,2,2532,2366
1858,rafiee mehdi,soliman mohamed,rafiee mehdi soliman mohamed,2,2532,2917
11930,lei q.,obeysekara a.,lei q. obeysekara a.,2,1223,394
1856,rafiee mehdi,rezaei ali,rafiee mehdi rezaei ali,2,2532,187
1855,rezaei ali,bornia giorgio,rezaei ali bornia giorgio,2,187,2366
1854,rezaei ali,soliman mohamed,rezaei ali soliman mohamed,2,187,2917
3817,mossop k.,smithells s.,mossop k. smithells s.,2,2649,903
1852,rezaei ali,rafiee mehdi,rezaei ali rafiee mehdi,2,187,2532
3818,mossop k.,ronald a.,mossop k. ronald a.,2,2649,1788
11927,obeysekara a.,xiang j.,obeysekara a. xiang j.,2,394,3190
11926,obeysekara a.,pavlidis d.,obeysekara a. pavlidis d.,2,394,2090
11925,obeysekara a.,salinas p.,obeysekara a. salinas p.,2,394,1182
11924,obeysekara a.,lei q.,obeysekara a. lei q.,2,394,1223
3819,mossop k.,masson l.,mossop k. masson l.,2,2649,2942
3820,smithells s.,rylance m.,smithells s. rylance m.,2,903,2097
3821,smithells s.,naidu r.,smithells s. naidu r.,2,903,1386
3822,smithells s.,hoq a.,smithells s. hoq a.,2,903,3278
6854,said abdulkadir,mehrer cody,said abdulkadir mehrer cody,2,3271,261
3912,dubinya n.,tikhotsky s.,dubinya n. tikhotsky s.,2,2098,1976
11875,mahmoud m. a.,tariq z.,mahmoud m. a. tariq z.,2,1539,2156
3945,krasnova m.,rusina o.,krasnova m. rusina o.,2,169,1543
3951,makarova a.,krasnova m.,makarova a. krasnova m.,2,3065,169
3950,makarova a.,beloborodov d.,makarova a. beloborodov d.,2,3065,342
3949,makarova a.,bayuk i.,makarova a. bayuk i.,2,3065,2570
3948,makarova a.,tikhotsky s.,makarova a. tikhotsky s.,2,3065,1976
3947,makarova a.,dubinya n.,makarova a. dubinya n.,2,3065,2098
3946,krasnova m.,fokin i.,krasnova m. fokin i.,2,169,1659
4133,naymushin a.,abdrakhimov a.,naymushin a. abdrakhimov a.,2,1178,567
3936,beloborodov d.,krasnova m.,beloborodov d. krasnova m.,2,342,169
3943,krasnova m.,beloborodov d.,krasnova m. beloborodov d.,2,169,342
3942,krasnova m.,bayuk i.,krasnova m. bayuk i.,2,169,2570
3941,krasnova m.,tikhotsky s.,krasnova m. tikhotsky s.,2,169,1976
3940,krasnova m.,dubinya n.,krasnova m. dubinya n.,2,169,2098
3939,beloborodov d.,fokin i.,beloborodov d. fokin i.,2,342,1659
3938,beloborodov d.,rusina o.,beloborodov d. rusina o.,2,342,1543
3952,makarova a.,rusina o.,makarova a. rusina o.,2,3065,1543
3953,makarova a.,fokin i.,makarova a. fokin i.,2,3065,1659
3954,rusina o.,dubinya n.,rusina o. dubinya n.,2,1543,2098
3955,rusina o.,tikhotsky s.,rusina o. tikhotsky s.,2,1543,1976
3956,rusina o.,bayuk i.,rusina o. bayuk i.,2,1543,2570
3957,rusina o.,beloborodov d.,rusina o. beloborodov d.,2,1543,342
3958,rusina o.,krasnova m.,rusina o. krasnova m.,2,1543,169
3959,rusina o.,makarova a.,rusina o. makarova a.,2,1543,3065
3960,rusina o.,fokin i.,rusina o. fokin i.,2,1543,1659
3961,fokin i.,dubinya n.,fokin i. dubinya n.,2,1659,2098
3962,fokin i.,tikhotsky s.,fokin i. tikhotsky s.,2,1659,1976
3963,fokin i.,bayuk i.,fokin i. bayuk i.,2,1659,2570
3964,fokin i.,beloborodov d.,fokin i. beloborodov d.,2,1659,342
3965,fokin i.,krasnova m.,fokin i. krasnova m.,2,1659,169
3966,fokin i.,makarova a.,fokin i. makarova a.,2,1659,3065
3967,fokin i.,rusina o.,fokin i. rusina o.,2,1659,1543
4024,konstantin lezhnev,tatyana timofeeva,konstantin lezhnev tatyana timofeeva,2,1540,3248
3937,beloborodov d.,makarova a.,beloborodov d. makarova a.,2,342,3065
3935,beloborodov d.,bayuk i.,beloborodov d. bayuk i.,2,342,2570
8364,yu mengjiao,ozbayoglu evren,yu mengjiao ozbayoglu evren,2,174,2453
3915,dubinya n.,krasnova m.,dubinya n. krasnova m.,2,2098,169
3918,dubinya n.,fokin i.,dubinya n. fokin i.,2,2098,1659
11861,woldeamanuel m.,mohamed i. m.,woldeamanuel m. mohamed i. m.,2,2843,733
3917,dubinya n.,rusina o.,dubinya n. rusina o.,2,2098,1543
11863,mohamed i. m.,elkatatny s. m.,mohamed i. m. elkatatny s. m.,2,733,2125
11864,mohamed i. m.,mahmoud m. a.,mohamed i. m. mahmoud m. a.,2,733,1539
3916,dubinya n.,makarova a.,dubinya n. makarova a.,2,2098,3065
11867,mohamed i. m.,woldeamanuel m.,mohamed i. m. woldeamanuel m.,2,733,2843
3934,beloborodov d.,tikhotsky s.,beloborodov d. tikhotsky s.,2,342,1976
11868,elkatatny s. m.,tariq z.,elkatatny s. m. tariq z.,2,2125,2156
3914,dubinya n.,beloborodov d.,dubinya n. beloborodov d.,2,2098,342
8368,ozbayoglu evren,yu mengjiao,ozbayoglu evren yu mengjiao,2,2453,174
11871,tariq z.,elkatatny s. m.,tariq z. elkatatny s. m.,2,2156,2125
11872,tariq z.,mahmoud m. a.,tariq z. mahmoud m. a.,2,2156,1539
3913,dubinya n.,bayuk i.,dubinya n. bayuk i.,2,2098,2570
3919,tikhotsky s.,dubinya n.,tikhotsky s. dubinya n.,2,1976,2098
11843,mahmoud m. a.,mohamed i. m.,mahmoud m. a. mohamed i. m.,2,1539,733
11837,elkatatny s. m.,mohamed i. m.,elkatatny s. m. mohamed i. m.,2,2125,733
3920,tikhotsky s.,bayuk i.,tikhotsky s. bayuk i.,2,1976,2570
3921,tikhotsky s.,beloborodov d.,tikhotsky s. beloborodov d.,2,1976,342
3922,tikhotsky s.,krasnova m.,tikhotsky s. krasnova m.,2,1976,169
3923,tikhotsky s.,makarova a.,tikhotsky s. makarova a.,2,1976,3065
3924,tikhotsky s.,rusina o.,tikhotsky s. rusina o.,2,1976,1543
3925,tikhotsky s.,fokin i.,tikhotsky s. fokin i.,2,1976,1659
3926,bayuk i.,dubinya n.,bayuk i. dubinya n.,2,2570,2098
3927,bayuk i.,tikhotsky s.,bayuk i. tikhotsky s.,2,2570,1976
3928,bayuk i.,beloborodov d.,bayuk i. beloborodov d.,2,2570,342
3929,bayuk i.,krasnova m.,bayuk i. krasnova m.,2,2570,169
3930,bayuk i.,makarova a.,bayuk i. makarova a.,2,2570,3065
3931,bayuk i.,rusina o.,bayuk i. rusina o.,2,2570,1543
3932,bayuk i.,fokin i.,bayuk i. fokin i.,2,2570,1659
3933,beloborodov d.,dubinya n.,beloborodov d. dubinya n.,2,342,2098
