,source,target,total,count,source_num,target_num
104,yu wei,sepehrnoori kamy,yu wei sepehrnoori kamy,5,301,2428
9251,jin yan,chen mian,jin yan chen mian,5,3290,1933
9249,chen mian,jin yan,chen mian jin yan,5,1933,3290
114,sepehrnoori kamy,yu wei,sepehrnoori kamy yu wei,5,2428,301
3180,elkatatny s. m.,mahmoud m. a.,elkatatny s. m. mahmoud m. a.,5,2125,1539
103,yu wei,wu kan,yu wei wu kan,5,301,1482
110,wu kan,yu wei,wu kan yu wei,5,1482,301
3185,mahmoud m. a.,elkatatny s. m.,mahmoud m. a. elkatatny s. m.,5,1539,2125
13319,williams d. j.,serati m.,williams d. j. serati m.,4,1169,2573
9611,mao sheng,gensheng li,mao sheng gensheng li,4,668,3245
9610,mao sheng,shouceng tian,mao sheng shouceng tian,4,668,688
3068,pan yuanwei,qiu kaibin,pan yuanwei qiu kaibin,4,2738,2419
9393,ostadhassan mehdi,li chunxiao,ostadhassan mehdi li chunxiao,4,2729,3115
13321,serati m.,williams d. j.,serati m. williams d. j.,4,2573,1169
532,tutuncu azra n.,katsuki daisuke,tutuncu azra n. katsuki daisuke,4,838,697
9589,gensheng li,shouceng tian,gensheng li shouceng tian,4,3245,688
9585,shouceng tian,mao sheng,shouceng tian mao sheng,4,688,668
9582,shouceng tian,gensheng li,shouceng tian gensheng li,4,688,3245
9592,gensheng li,mao sheng,gensheng li mao sheng,4,3245,668
6871,alexeyev alan,ostadhassan mehdi,alexeyev alan ostadhassan mehdi,4,711,2729
3125,qiu kaibin,pan yuanwei,qiu kaibin pan yuanwei,4,2419,2738
6866,ostadhassan mehdi,alexeyev alan,ostadhassan mehdi alexeyev alan,4,2729,711
8922,shrivastava kaustubh,sharma mukul m.,shrivastava kaustubh sharma mukul m.,4,4,1215
525,katsuki daisuke,tutuncu azra n.,katsuki daisuke tutuncu azra n.,4,697,838
8923,sharma mukul m.,shrivastava kaustubh,sharma mukul m. shrivastava kaustubh,4,1215,4
12209,doe t. w.,wang h. f.,doe t. w. wang h. f.,4,643,2769
12225,wang h. f.,doe t. w.,wang h. f. doe t. w.,4,2769,643
9397,li chunxiao,ostadhassan mehdi,li chunxiao ostadhassan mehdi,4,3115,2729
9250,jin yan,dong jingnan,jin yan dong jingnan,3,3290,775
