,source,target,total,count,source_num,target_num
2188,novatek,schlumberger,novatek schlumberger,176,423,293
2334,schlumberger,novatek,schlumberger novatek,176,293,423
2338,schlumberger,investgeoservice,schlumberger investgeoservice,88,293,454
2286,investgeoservice,schlumberger,investgeoservice schlumberger,88,454,293
665,pemex,schlumberger,pemex schlumberger,78,304,293
664,schlumberger,pemex,schlumberger pemex,78,293,304
5858,johannes-gutenberg university,shell global solutions international bv,johannes-gutenberg university shell global solutions international bv,54,606,617
5786,shell global solutions international bv,johannes-gutenberg university,shell global solutions international bv johannes-gutenberg university,54,617,606
2788,jsc arcticgas,schlumberger,jsc arcticgas schlumberger,48,340,293
2748,schlumberger,jsc arcticgas,schlumberger jsc arcticgas,48,293,340
860,saudi aramco,schlumberger,saudi aramco schlumberger,39,641,293
868,schlumberger,saudi aramco,schlumberger saudi aramco,39,293,641
699,petronas,schlumberger,petronas schlumberger,33,362,293
696,schlumberger,petronas,schlumberger petronas,33,293,362
2751,schlumberger,jsc novatek,schlumberger jsc novatek,32,293,733
2818,jsc novatek,schlumberger,jsc novatek schlumberger,32,733,293
3888,baker hughes inc,kuwait oil company,baker hughes inc kuwait oil company,30,548,50
3893,kuwait oil company,baker hughes inc,kuwait oil company baker hughes inc,30,50,548
258,kuwait oil,schlumberger,kuwait oil schlumberger,26,333,293
288,schlumberger,kuwait oil,schlumberger kuwait oil,26,293,333
4244,devon energy,schlumberger,devon energy schlumberger,24,650,293
956,petronas,mi-swaco a schlumberger company,petronas mi-swaco a schlumberger company,24,362,227
5172,ecole polytechnique,universite paris-est,ecole polytechnique universite paris-est,24,634,511
5144,universite paris-est,ecole polytechnique,universite paris-est ecole polytechnique,24,511,634
986,mi-swaco a schlumberger company,petronas,mi-swaco a schlumberger company petronas,24,227,362
4268,schlumberger,devon energy,schlumberger devon energy,24,293,650
3320,adco,schlumberger,adco schlumberger,22,595,293
3332,schlumberger,adco,schlumberger adco,22,293,595
5522,schlumberger,jogmec,schlumberger jogmec,21,293,352
5543,jogmec,schlumberger,jogmec schlumberger,21,352,293
454,halliburton,ojsc rosneft oil company,halliburton ojsc rosneft oil company,20,635,775
421,ojsc rosneft oil company,halliburton,ojsc rosneft oil company halliburton,20,775,635
3386,saudi aramco,baker hughes,saudi aramco baker hughes,20,641,455
3406,baker hughes,saudi aramco,baker hughes saudi aramco,20,455,641
4080,schlumberger,universidade federal do rio de janeiro,schlumberger universidade federal do rio de janeiro,20,293,777
4100,universidade federal do rio de janeiro,schlumberger,universidade federal do rio de janeiro schlumberger,20,777,293
18,petrobras,blade energy partners,petrobras blade energy partners,18,95,17
3144,baker hughes,kuwait oil company,baker hughes kuwait oil company,18,455,50
1744,schlumberger,ypf s.a.,schlumberger ypf s.a.,18,293,37
1726,ypf s.a.,schlumberger,ypf s.a. schlumberger,18,37,293
5792,shell global solutions international bv,paul scherrer institut,shell global solutions international bv paul scherrer institut,18,617,370
5924,paul scherrer institut,shell global solutions international bv,paul scherrer institut shell global solutions international bv,18,370,617
3126,kuwait oil company,baker hughes,kuwait oil company baker hughes,18,50,455
0,blade energy partners,petrobras,blade energy partners petrobras,18,17,95
2148,schlumberger,oao lukoil,schlumberger oao lukoil,16,293,357
4050,pinnacle a halliburton service,changqing oilfield co. petrochina,pinnacle a halliburton service changqing oilfield co. petrochina,16,863,61
3990,schlumberger,cnooc,schlumberger cnooc,16,293,890
6508,ge power conversion,ge global research,ge power conversion ge global research,16,160,193
5726,shell global solutions international,schlumberger moscow research,shell global solutions international schlumberger moscow research,16,704,891
2140,oao lukoil,schlumberger,oao lukoil schlumberger,16,357,293
3974,cnooc,schlumberger,cnooc schlumberger,16,890,293
2186,novatek,investgeoservice,novatek investgeoservice,16,423,454
2282,investgeoservice,novatek,investgeoservice novatek,16,454,423
4034,changqing oilfield co. petrochina,pinnacle a halliburton service,changqing oilfield co. petrochina pinnacle a halliburton service,16,61,863
3484,chevron,tengizchevroil,chevron tengizchevroil,16,191,695
5659,schlumberger moscow research,shell global solutions international,schlumberger moscow research shell global solutions international,16,891,704
6361,ge global research,ge power conversion,ge global research ge power conversion,16,193,160
3492,tengizchevroil,chevron,tengizchevroil chevron,16,695,191
4662,kyoto university,3d geoscience inc.,kyoto university 3d geoscience inc.,15,864,395
1049,orc,marathon oil,orc marathon oil,15,713,103
4667,3d geoscience inc.,kyoto university,3d geoscience inc. kyoto university,15,395,864
1024,marathon oil,orc,marathon oil orc,15,103,713
890,texas a&m university,sinopec,texas a&m university sinopec,14,297,535
876,sinopec,texas a&m university,sinopec texas a&m university,14,535,297
1269,petroamazonas,schlumberger,petroamazonas schlumberger,13,879,293
523,texas tech university,halliburton,texas tech university halliburton,13,389,635
1452,puc-rio,petrobras,puc-rio petrobras,13,453,95
1449,petrobras,puc-rio,petrobras puc-rio,13,95,453
1255,schlumberger,petroamazonas,schlumberger petroamazonas,13,293,879
520,halliburton,texas tech university,halliburton texas tech university,13,635,389
358,endeavor energy resource lp,schlumberger,endeavor energy resource lp schlumberger,12,838,293
346,schlumberger,endeavor energy resource lp,schlumberger endeavor energy resource lp,12,293,838
6096,schlumberger,petronas carigali sdnbhd,schlumberger petronas carigali sdnbhd,12,293,85
1572,pacific rubiales energy,halliburton,pacific rubiales energy halliburton,12,901,635
3609,repsol,ibm,repsol ibm,12,23,81
1584,halliburton,pacific rubiales energy,halliburton pacific rubiales energy,12,635,901
3773,eni e&p,m-i swaco a schlumberger company,eni e&p m-i swaco a schlumberger company,12,235,909
486,pemex,halliburton,pemex halliburton,12,304,635
3758,kuwait oil company,halliburton,kuwait oil company halliburton,12,50,635
3794,m-i swaco a schlumberger company,eni e&p,m-i swaco a schlumberger company eni e&p,12,909,235
491,halliburton,pemex,halliburton pemex,12,635,304
3606,ibm,repsol,ibm repsol,12,81,23
4912,lawrence berkeley national laboratory,clausthal university of technology,lawrence berkeley national laboratory clausthal university of technology,12,694,740
6102,petronas carigali sdnbhd,schlumberger,petronas carigali sdnbhd schlumberger,12,85,293
4167,university of north dakota,china university of petroleum,university of north dakota china university of petroleum,12,439,683
5867,johannes-gutenberg university,paul scherrer institut,johannes-gutenberg university paul scherrer institut,12,606,370
2826,jsc novatek,jsc arcticgas,jsc novatek jsc arcticgas,12,733,340
5933,paul scherrer institut,johannes-gutenberg university,paul scherrer institut johannes-gutenberg university,12,370,606
1252,schlumberger,spe,schlumberger spe,12,293,285
3746,halliburton,kuwait oil company,halliburton kuwait oil company,12,635,50
1236,spe,petroamazonas,spe petroamazonas,12,285,879
1266,petroamazonas,spe,petroamazonas spe,12,879,285
1234,spe,schlumberger,spe schlumberger,12,285,293
4924,clausthal university of technology,lawrence berkeley national laboratory,clausthal university of technology lawrence berkeley national laboratory,12,740,694
4172,china university of petroleum,university of north dakota,china university of petroleum university of north dakota,12,683,439
2796,jsc arcticgas,jsc novatek,jsc arcticgas jsc novatek,12,340,733
2848,lukoil,schlumberger,lukoil schlumberger,11,147,293
2856,schlumberger,lukoil,schlumberger lukoil,11,293,147
1528,petroleum development of oman,schlumberger,petroleum development of oman schlumberger,10,629,293
2114,lukoil-engineering limited permnipineft branch office,lukoil-komi,lukoil-engineering limited permnipineft branch office lukoil-komi,10,886,622
1518,schlumberger,petroleum development of oman,schlumberger petroleum development of oman,10,293,629
310,shell,kuwait oil,shell kuwait oil,10,588,333
260,kuwait oil,shell,kuwait oil shell,10,333,588
5078,university of north florida,the university of montana,university of north florida the university of montana,10,636,855
4706,jogmec,kyoto university,jogmec kyoto university,10,352,864
2119,lukoil-komi,lukoil-engineering limited permnipineft branch office,lukoil-komi lukoil-engineering limited permnipineft branch office,10,622,886
5068,the university of montana,university of north florida,the university of montana university of north florida,10,855,636
4674,kyoto university,jogmec,kyoto university jogmec,10,864,352
6802,universitat politecnica de catalunya,repsol,universitat politecnica de catalunya repsol,9,851,23
6811,repsol,universitat politecnica de catalunya,repsol universitat politecnica de catalunya,9,23,851
6941,exxonmobil development company,exxonmobil upstream research company,exxonmobil development company exxonmobil upstream research company,9,941,769
6932,exxonmobil upstream research company,exxonmobil development company,exxonmobil upstream research company exxonmobil development company,9,769,941
1096,schlumberger,clayton williams energy,schlumberger clayton williams energy,9,293,556
1105,clayton williams energy,schlumberger,clayton williams energy schlumberger,9,556,293
48,etudes et productions schlumberger,schlumberger-doll research,etudes et productions schlumberger schlumberger-doll research,9,172,255
36,schlumberger-doll research,etudes et productions schlumberger,schlumberger-doll research etudes et productions schlumberger,9,255,172
1854,wpx energy co,wpx energy,wpx energy co wpx energy,8,924,34
6538,exxonmobil,ge global research,exxonmobil ge global research,8,387,193
5473,advantek international; cairo university,advantek international,advantek international; cairo university advantek international,8,286,148
6554,rpsea,ge global research,rpsea ge global research,8,575,193
5640,qri,pemex,qri pemex,8,73,304
5628,pemex,qri,pemex qri,8,304,73
1670,university of calgary,oklahoma state university,university of calgary oklahoma state university,8,712,271
1673,oklahoma state university,university of calgary,oklahoma state university university of calgary,8,271,712
