	name	degree
1240	rutqvist j.	80
1402	zoback m. d.	74
2879	morris j. p.	74
1438	sone h.	72
1549	johnson p. a.	72
1034	haimson b. c.	70
1582	morales adrian	68
2754	wang h. f.	68
643	doe t. w.	68
104	birkholzer j. t.	66
1188	nakagawa s.	66
995	huang h.	64
2532	oldenburg c. m.	64
2984	dobson p. f.	64
2413	zhou j.	64
785	heise j.	62
3040	daley t. m.	62
1457	coblentz d. d.	62
950	white j. a.	62
373	roggenthen w. m.	62
199	cook p. j.	62
1003	ingraham m.	62
2711	vigilante p.	62
2784	siler d. l.	62
1843	ajo-franklin j.	62
3128	johnson t. j.	62
80	guglielmi y.	62
828	ulrich c.	62
1416	lord n. e.	62
3093	mattson e. d.	62
1023	wu y.	62
2403	kneafsey t. j.	62
123	lee m. y.	62
3221	thomas mandy	58
1490	costello ian	58
2817	magbagbeola oluwaseun	54
2213	yates malcolm	54
508	anifowoshe olatunbosun	54
495	wilson thomas	52
1575	carney bj	52
2365	crandall dustin	52
1982	macphail keith	52
2259	hewitt jay	52
28	amini shohreh	52
843	kavousi payam	52
2859	hammack richard	50
2392	zorn erich v.	50
2041	kumar abhash	50
1594	naseem kashif	48
477	hogarth leah	48
281	carr timothy r.	48
966	uschner natalie	48
597	jordon emily	48
1479	sharma shikha	48
5	johansen asbjoern	48
574	vagnetti robert	48
1825	akin josiah	48
1428	zhang guangqing	46
2056	yang xiangtong	46
2466	li gensheng	44
1458	wang lizhi	44
1872	deng jingen	42
668	mao sheng	42
2420	sepehrnoori kamy	42
1225	sharma mukul m.	40
303	yu wei	38
250	tang meirong	38
3079	chen t.	36
2924	han y.	34
3032	zhang yang	34
2444	white d. j.	34
2645	desroches j.	34
2667	fan wentong	34
2100	paryani m.	32
3275	jin yan	32
2092	huang yongjie	32
254	jin y.	30
357	alboueshi alaa eldine	30
2414	al othman mohamed	30
1298	nilotpaul neoq	30
1889	ejofodomi efe	30
101	fidan erkan	30
2177	al-dousari mohammed abdullah	30
2206	eid walid	30
1602	al-matrouk yousef	30
2892	sierra leopoldo	30
2390	allam ahmed	30
674	buhamad ali	30
1002	elmofti mohamed	30
3270	chen zhangxin	30
1239	al-zaidani ibrahim	30
630	sadeddin salma	30
3259	ahmed abdul-samad mohammed	30
603	ashkanani meshari	30
3087	teng qi	30
958	ahmed zamzam	30
428	wang tao	28
1769	zhou dawei	28
1102	foote alexander	28
687	shouceng tian	28
165	morrell austin	28
308	mainali pukar	28
3229	gensheng li	28
2094	rylance m.	28
2309	rowe harry	28
2769	liu hai	28
2725	pan yuanwei	28
772	narasimhan santhosh	28
561	stead d.	28
2411	qiu kaibin	28
2580	casero a.	26
3141	yang c. h.	26
744	lebedev maxim	26
48	hou b.	26
2876	du xianfei	26
426	white d.	26
2058	liu w.	26
1933	chen mian	26
124	dawson w.	26
1134	li j. l.	26
3175	shi x. l.	26
1006	li y. p.	26
2504	pourpak h.	26
1801	randolph m. f.	26
1486	wu kan	26
3135	de gennaro s.	26
765	al manji a.	26
348	savinov roman	24
441	west c.	24
2592	tyan oleg	24
389	moncada k.	24
445	lebedeva irina	24
2128	elkatatny s. m.	24
2604	bochkarev vladimir	24
3169	hareland g.	24
1734	zhan jie	24
2683	mikhailitsyn egor	24
3153	surmin vladimir	24
709	alexeyev alan	24
202	deslandes p.	24
395	theuveny b.	24
1965	wilson n.	24
2130	leontyev dmitry	24
1819	soliman m. y.	24
2717	ostadhassan mehdi	24
162	fogwill allan	24
1938	conort g.	24
1157	potapenko d. i.	24
3015	shakirova anastasia	24
1414	jia bao	24
1173	belhouchet mohamed	24
1464	enkababian p.	24
2473	nikifirova olga	24
1158	kim vitaly	24
83	valshin oleg	24
1378	kasumov ruslan	24
2410	settgast r. r.	24
1517	abdessalem abba	24
1544	mahmoud m. a.	24
125	kumar s.	24
126	temizel cenk	24
537	song xianzhi	24
1550	gerlach r.	24
323	xian chenggang	24
2151	han yanhui	24
1341	mikovich m.	24
193	jin guodong	24
893	willberg d. m.	24
2366	fj<u+00e6>r e.	24
1565	xu shengfan	24
860	gao jian	24
2997	neaton r.	24
2894	williams r. d.	24
1358	mazaev konstantin	24
1959	neyra o.	22
3168	bojarah khaled hussain	22
377	deplaude o.	22
2650	al hajeri mishari	22
2143	ramaswamy sunil,	22
2639	villar v.	22
2276	oni olugbenga,	22
2500	huang zhongwei	22
2148	al safar waleed	22
205	gupta pravind k.	22
1995	qingling liu	22
838	osauzo sam,	22
655	rojas f.	22
19	jiang tongwen	22
21	xue j.	22
2198	soto b.	22
2164	clukey e. c.	22
2176	shan dan	22
1272	arasi quadri,	22
2873	naik vinay	22
1559	basu subhayu,	22
1667	liu wei	22
1009	osinga s.	22
1639	bransby m. f.	22
1021	campero manuel flores,	22
3094	al zankawi omran	22
2871	zakeri a.	22
3142	garcia s.	22
607	odumboni idowu,	22
131	otevwemerhuere joseph,	22
1499	rojas c.	22
2847	kallel narjes,	22
499	gupta ishank	22
1474	heiland juliane,	22
2937	vera c.	22
2940	lu y.	22
1217	al aryan ali mansour	22
3022	wang yuanyuan	22
1241	xiao j.	22
2988	chemmarikattil rohan,	22
2992	borges s.	22
2850	ouenes a.	22
1828	al ghareeb aisha yousef	22
3106	ghassemi ahmad	22
1698	ganser nathan	22
2736	contreras j. r.	22
409	cortes i.	22
421	shastri mukesh	22
1307	de gennaro vincenzo,	22
2701	caro j. c.	22
1792	sarmadivaleh m.	22
1883	amann f.	22
185	raturi sushil k.	22
1694	malpani raj	22
817	guo y. t.	20
2348	solovyev t.	20
1861	toribio t.	20
1852	zaki karim	20
1186	naymushin a.	20
782	wilson collin	20
2102	baig muhammad zeeshan	20
1451	ma h. l.	20
275	xiaojiang li	20
777	carr timothy	20
933	barros p. m.	20
2384	povstyanova magdalena	20
567	abdrakhimov a.	20
1446	martini a. f.	20
1866	ali humair	20
376	chen j.	20
288	laer pierre van	20
2264	leontev i.	20
2284	fonseca j. s.	20
608	onaisi a.	20
438	gonzalez m.	20
1662	bunger a. p.	20
331	liang xing	20
1647	marzooqi hassan al	20
1752	dasgupta suvodip	20
320	ali syed shujath	20
2045	silva l. m.	20
922	yang xiao	20
583	liu zhibin	20
1098	fei zhao	20
1554	queiroz l. e.	20
1539	suwaidi salama jumaa al	20
2252	yamamoto t.	20
1144	naumov y.	20
904	korovaychuk y.	20
2272	dusseault m. b.	20
1941	shi xian	20
718	maul a.	20
2900	soliman mohamed	20
2647	subbiah surej kumar	20
3165	vishnivetskiy a.	20
67	martynov d.	20
3076	benson andy	20
3126	zhang n.	20
24	wang t. t.	20
228	mello ashish d’	20
2968	casson neil	20
3036	kiselev v.	20
3152	meneguim t.	20
3057	nie yuanxun	20
2503	bezikov a.	20
2878	khaksar abbas	20
2875	gobatto f.	20
3272	yang liu	20
2678	frolov a.	20
3278	raina ishan	20
118	dunn-norman shari	18
1585	jung hyunyoung	18
108	liu xiaoli	18
2395	xiaojie yu	18
509	de vries robin	18
105	park s.	18
2945	abdulraheem a.	18
1440	mahamat habib abdelkerim doutoum	18
1432	wang weikan	18
1427	masoumi h.	18
1424	orlic b.	18
97	elmo d.	18
1403	bauer a.	18
2973	ryerson f. j.	18
1395	castillo e.	18
2862	gosavi shekhar v.	18
2842	negara ardiansyah	18
1650	nam y. j.	18
2690	lukin s. v.	18
1921	zhang x.	18
1911	lemanczyk r.	18
1902	cheramie jami	18
2679	kumar sandeep	18
2684	min k.-b.	18
1887	chebyshev i. s.	18
393	navas luis eduardo	18
394	obeysekara a.	18
2688	kapoor saurabh	18
1878	kalinin o. yu.	18
1838	wang lipeng	18
456	chunliang gao	18
175	el hassan azza	18
1774	evans b.	18
2774	sidelnik a. v.	18
161	hao geng	18
1722	qi yue	18
1720	gu xiao	18
1708	stephansson o.	18
1696	imtiaz saad	18
1355	tengze ge	18
453	johnstone k.	18
1370	de perriere matthieu deville	18
1255	cousson heather	18
89	ramdeen rayaz evans	18
3185	chuanqing liu	18
1004	niu li	18
3122	bonin aurelie	18
992	zhang chen	18
991	abdelrahman alyazia	18
982	hatchell paul	18
929	zhao meng	18
3170	xiang j.	18
3172	li wei	18
912	jung s. g.	18
857	mawira a.	18
88	ouenes ahmed	18
3216	abbott william e.	18
3222	dhafra al	18
834	hejazi hossein	18
831	lopez jorge	18
3243	parsons adrian	18
11	spencer s.	18
3251	bermudez romulo francisco	18
781	xu jianhua	18
763	seales sheldon	18
3110	martemyanov a. n.	18
1030	rubyanto d.	18
1033	shan feng	18
613	shebl hesham t.	18
546	zhuang l.	18
1314	pallapothu surya	18
3009	jeffrey r. g.	18
1279	zimmermann g.	18
559	he ruijian	18
1233	lei q.	18
3034	prioul r.	18
1212	ovcharenko yu. v.	18
1200	wang changhao	18
1198	yoon j. s.	18
1191	salinas p.	18
1165	alchibaev d. v.	18
1150	perumalla satya	18
1114	mulders f.	18
3064	al-ali abdulla ali	18
1091	yubao shi	18
1090	dunn shaun	18
3075	jeong jaehoon	18
610	holt r. m.	18
2649	al katheeri yousif saleh	18
3285	street nick	18
2089	pavlidis d.	18
2360	zhigulskiy s. v.	18
2335	yang baibing	18
2462	jin hui	18
2215	wang chen	18
2095	dubinya n.	18
358	nugraha khadafi a.	18
2611	ming li	18
2441	gee vicki	18
2195	zang a.	18
211	bazyrov i. sh.	18
207	jun zeng	18
2632	d'ambra s.	18
2083	mcdonald a.	18
2122	fischer eric	18
2588	li deqing	18
1989	arson c.	18
2511	glazyrina a. ye.	18
2636	jain bipin	18
2621	simiao sheng	18
2640	kim k. y.	18
2541	sorrentino y.	18
198	liu yuan	18
1981	kang jeonggil	18
2521	rafiee mehdi	18
2543	samuel robello	18
2584	fan m.	16
2127	lin b.	16
2456	piane claudio delle	16
903	espinoza d. n.	16
2890	tan qiang	16
2964	han ke	16
128	wassing b. b. t.	16
337	du xuan	16
988	alimahomed farhan	16
989	noufal a.	16
2605	kruijs e.	16
