	name	degree
264	schlumberger	94
271	texas a&m university	62
407	baker hughes	50
646	china university of petroleum	42
597	halliburton	38
284	colorado school of mines	34
652	lawrence berkeley national laboratory	32
228	turkish petroleum	28
413	aera energy	26
0		26
559	university of oklahoma	22
672	university of calgary	22
808	university of southern california	22
38	kuwait oil company	22
52	conocophillips	22
493	university of texas at austin	22
852	lawrence livermore national laboratory	20
596	consultant	20
18	the university of texas at austin	20
467	university of houston	18
193	university of alberta	18
542	shell	16
480	statoil	16
455	the university of oklahoma	16
448	weatherford	16
653	university of british columbia	16
285	stanford university	16
247	adnoc	16
758	university of toronto	16
554	exxonmobil upstream research co.	14
136	state key laboratory of petroleum resources and prospecting china university of petroleum	12
526	university of texas	12
56	state key laboratory of oil and gas reservoir geology and exploitation southwest petroleum university	12
537	pioneer exploration llc	12
529	rafllesia energy	12
182	chevron	12
744	southwest petroleum university	12
662	pacific northwest national laboratory	12
129	college of technological studies	12
34	university of tulsa	12
814	hess	12
148	massachusetts institute of technology	10
586	rafflesia energy	10
551	university of louisiana at lafayette	10
59	the university of hong kong	10
5	university of utah	10
301	king fahd university of petroleum and minerals	10
582	shell global solutions international b.v.	10
876	exxonmobil development company	10
617	baker hughes inc.	10
17	repsol	10
473	university of science and technology	10
751	wintershall	10
234	schlumberger-doll research	10
151	sandia national laboratories	10
154	shell exploration and production company	10
403	university of tehran and npc co.	8
609	kajima corporation	8
372	pogc	8
789	xto energy	8
173	institute of geology	8
598	nittoc construction co.ltd.	8
310	schlumberger doll research	8
445	kobe university	8
507	exxonmobil canada east	8
553	universitat politecnica catalunya	8
108	mapsa co.	8
198	seoul national university	8
286	university of waterloo	8
576	university of minnesota	8
297	det norske	8
572	university of kentucky	8
566	korla research institute of bgp	8
565	aramco research center	8
175	university of arizona	8
19	rice university	8
525	university of cyprus	8
593	baker hughes incorporated	8
632	norwegian geotechnical institute formerly with uwa	8
415	ideal oil & gas connections inc	8
729	sintef petroleum research	8
637	university of western australia uwa	8
743	aramco services company	8
188	universiti malaysia sarawak formerly with uwa	8
752	yokohama national university	8
231	ntnu	8
764	fugro advanced geomechanics formerly with uwa	8
712	rockfield global technologies america llc	8
765	gazprom geologorazvedka	8
792	iris	8
858	bp	8
884	petrochina tarim oil company	8
787	university of regina	8
209	the university of texas	8
802	repsol exploration geohazard team	8
186	uwa	8
242	sandia national laboratory	8
24	pennsylvania state university	8
702	exxonmobil development co.	8
640	seee	8
699	bg group	8
423	northeast petroleum university	8
686	washington university	8
851	university of tehran	8
68	zadco	8
419	petronas carigali sdn. bhd.	8
660	missouri university of science and technology	8
70	kfc ltd.	8
337	petro-geotech inc.	6
341	university of trinidad and tobago	6
393	optimal solutions technologies inc. national energy technology laboratory	6
369	bauer maschinen gmbh	6
364	newfield exploration	6
375	lomonosov moscow state university	6
377	university of regina & state key laboratory of oil and gas reservoir geology and exploitation southwest petroleum university	6
370	wuhan university	6
390	ibm research brazil	6
336	ibm research india	6
790	trican well service ltd	6
325	bos technologies llc	6
261	energy & geosciences institute at the university of utah	6
210	china petroleum & chemical corp	6
223	nippon kaiji kyokai	6
881	idaho national laboratory	6
238	itasca consulting group	6
239	riped of petrochina	6
246	curtin university	6
878	csiro	6
249	total	6
253	shell deepwater borneo	6
276	imsc	6
324	xto energy inc.	6
282	dynardo gmbh	6
874	gazprom	6
866	university of exeter	6
302	shengli petroleum services sinopec	6
305	ohio state university	6
306	hefei university of technology	6
309	csiro energy	6
314	shell global solutions malaysia sdn. bhd.	6
320	forsys subsea	6
401	louisiana state university	6
484	ems energy institute and g3 center the pennsylvania state university	6
865	rgl reservoir management inc.	6
707	rmit university	6
827	monash university	6
600	koc	6
601	saudi aramco	6
624	computer modelling group	6
645	swinburne university	6
824	mitsubishi heavy industries ltd.	6
665	shell global solutions international	6
667	ems energy institute and g3 center the pennsylvania state university taiyuan university of technology	6
811	nexen ulc	6
697	delt university of technology	6
698	japan agency for marine-earth science and technology	6
711	school of mechanical and chemical engineering the university of western australia	6
410	simon fraser university	6
716	korea institute of civil engineering and building technology	6
733	national center for scientific research demokritos	6
741	fidesys llc	6
746	nsi fracturing llc	6
796	shell international exploration and production inc	6
761	piteau associates engineering	6
763	kfupm	6
767	schlumberger-doll research center	6
769	university of pittsburgh	6
781	temple university department of earth and environmental science	6
788	rc tolman llc	6
838	shell india markets private limited	6
585	laredo petroleum	6
579	shell international exploration & production inc.	6
574	china university of petroleum at beijing	6
417	university of tokyo	6
427	mid-atlantic technology research & innovation center	6
432	yangtze university	6
434	cormorant engineering	6
438	university of science & technology	6
855	petrochina	6
449	cnooc research center	6
450	national energy technology laboratory	6
453	independent geomechanics and pore pressure consultant; shell india markets private limited	6
454	university of science and technology of china	6
853	shell international exploration and production incorporated	6
457	brunei shell petroleum co sdn bhd	6
463	csiro energy flagship	6
469	technip	6
471	geologic environment division kigam	6
475	china university of petroleum at beijing and texas a&m university	6
843	gazprom dobycha nadym	6
841	university of western australia	6
502	horizon geosciences	6
516	staatsolie maatschappij suriname n.v.	6
522	aramco services company: aramco research center-houston	6
528	tarim research institute of petroleum engineering china national petroleum corporation	6
560	school of civil engineering the university of queensland	6
202	the college of petroleum engineering china university of petroleum east china	6
887	mcclure geomechanics llc	6
184	shell global solutions (us) inc.	6
121	akzo nobel functional chemicals llc	6
192	washington department of geology and earth resources	6
156	sinopec exploration and production institute	6
191	helmholtz centre potsdam gfz german research centre for geosciences	6
7	imperial college london	6
60	university of science and technologies of china	6
30	altarock energy inc.	6
64	indian institute of technology kharagpur	6
48	purdue university	6
119	university of crete	6
160	yanchang petroleum group	6
26	brunei shell petroleum	6
85	w.d. von gonten laboratories llc	6
174	shell exploration & production co.	6
93	texas a&m univerity at qatar	6
15	school of mechanical and mining engineering the university of queensland	6
169	shell china exploration and production company limited	6
39	brunei shell petroleum co sdn bhd; adco	6
149	aecom national energy technology laboratory	6
844	(permnipineft branch of lukoil-engineering llc in perm rf perm	4
511	mirarco	4
107	universitat kiel	4
521	london southbank university	4
519	czech geological survey	4
518	universite grenoble alpes	4
512	hess corp.	4
509	moscow institute of physics and technology	4
380	spdc	4
503	petrostreamz as	4
830	jpt senior technology writer	4
498	statoil asa	4
487	jsc yamal lng	4
477	perm engineering and technical centre geofizika llc rf perm	4
476	petronas carigali sdn bhd	4
534	enhanced production inc.	4
540	xihua university and southwest petroleum university	4
116	the eor alliance ifp technologies (canada) inc.	4
97	school of civil and environmental engineering georgia institute of technology	4
152	petrobras argentina	4
94	university of vigo	4
817	sanjel	4
562	etseccpb upc	4
561	skolkovo institute of science and technology (skoltech)	4
96	dong energy	4
558	university of engineering and technology	4
820	repsol g&g technical quality direction	4
556	adco	4
552	huainan mining group pan yidong mine	4
549	texas a&m university; king abdullah university of science and technology	4
544	research institute of petroleum exploration & development cnpc	4
373	enap	4
199	skolkovo institute of science and technology	4
474	weatherford international	4
118	jilin oilfield petrochina	4
412	university of memphis	4
426	university of california–berkeley	4
437	shell exploration & production company	4
435	ridge	4
842	pertamina hulu energi	4
402	china university of petroleum-beijing	4
404	daqing oilfield company limited	4
430	petroleum development oman	4
425	the university of tennessee space institute	4
383	cup	4
405	image (itasca microseismic and geomechanics evaluation)	4
422	lukoil-engineering limited permnipineft branch office in perm	4
420	southern illinois university	4
141	k&m technology group	4
137	lukoil	4
138	ex schlumberger	4
130	rockfield global technologies	4
442	chesapeake energy corporation	4
840	schlumberger moscow research	4
399	baker hughes research center dhahran global technology center king fahd university of petroleum and minerals	4
127	virginia tech	4
398	tohoku university	4
124	china university of petroleum-beijing and university of calgary	4
123	geomechanics technologies	4
456	hokkaido university	4
394	university of petroleum and energy studies	4
568	sintef petroleum research as	4
