	name	degree
293	schlumberger	154
635	halliburton	74
529	university of texas at austin	38
487	weatherford	34
285	spe	32
312	colorado school of mines	32
455	baker hughes	28
773	sintef petroleum research	26
641	saudi aramco	24
438	_	24
505	university of houston	22
204	university of alberta	22
367	hess corporation	22
704	shell global solutions international	20
588	shell	20
596	university of oklahoma	20
387	exxonmobil	20
712	university of calgary	18
517	petronas carigali sdn bhd	18
553	royal dutch/shell group	18
669	schlumberger oilfield services	16
160	ge power conversion	16
662	ge oil & gas	16
401	ge globar research	16
560	ge globla research	16
193	ge global research	16
400	ge oil & gas - subsea	16
574	halliburton co.	16
439	university of north dakota	16
162	ge transportation	16
95	petrobras	16
683	china university of petroleum	16
694	lawrence berkeley national laboratory	16
575	rpsea	16
280	total	14
44	university of tulsa	14
304	pemex	14
905	bp	14
71	conocophillips	14
297	texas a&m university	14
24	the university of texas at austin	14
343	tunnel engineering ab	14
731	anglogold ashanti	14
386	chevron energy technology company	14
467	ecopetrol	12
310	ritsumeikan university	12
50	kuwait oil company	12
448	tohoku university	12
922	3d geoscience	12
154	the university of western australia	12
693	university of british columbia	12
391	university of the witwatersrand	12
30	pennsylvania state university	12
349	schlumberger doll research	12
594	university of louisiana at lafayette	12
257	seismogen cc	12
268	groundwork consulting (pty) ltd.	12
607	university of minnesota	12
279	shell international exploration and production	12
128	university of new south wales	10
638	chevron (ret.)	10
672	petrochina changqing oilfield co.	10
649	csiro earth science and resource engineering	10
389	texas tech university	10
892	reslink as	10
891	schlumberger moscow research	10
864	kyoto university	10
70	schlumberger middle east s.a.	10
135	lukoil nizhnevolzhskneft	10
474	cpc corporation	10
67	schlumberger reservoir laboratories	10
47	shell china e&p	10
558	sarawak shell bhd	10
548	baker hughes inc	10
798	paradigm	10
226	shell india markets pvt. ltd	10
241	geosiris	10
595	adco	10
598	donna marcotte consulting	10
827	shell technology centre bangalore	10
937	unique machine llc	10
453	puc-rio	10
167	petrochina coalbed methane co.	10
497	ifpen	10
