	name	degree
263	schlumberger	86
270	texas a&m university	46
488	university of houston	46
658	china university of petroleum	46
614	saudi aramco	30
672	lawrence berkeley national laboratory	30
144	sandia national laboratories	28
520	university of texas at austin	28
437	baker hughes	28
145	los alamos national laboratory	28
6	baker hughes a ge company	26
280	stanford university	26
279	colorado school of mines	26
856	lawrence livermore national laboratory	26
94	golder associates	26
25	the university of texas at austin	24
578	university of oklahoma	24
155	university of wisconsin-madison	24
884	idaho national laboratory	24
611	halliburton	24
245	curtin university	22
42	kuwait oil company	22
845	university of western australia	22
439	aera energy	22
757	sanford underground research facility	20
679	pacific northwest national laboratory	20
3	south dakota school of mines and technology	20
838	jukes group	20
374	wuhan university	18
432	china university of petroleum-beijing	16
430	texas aandm university	16
779	university of pittsburgh	16
687	university of calgary	16
438	simon fraser university	16
91	petrobras	16
322	university of kansas	16
885	shell international exploration and production inc.	16
9	university of utah	16
861	bp	16
189	university of alberta	16
608	consultant	14
2	new england research	14
855	university of tehran	14
603	canadian energy research institute	14
8	bp america inc.	14
469	weatherford	12
217	china university of petroleum beijing	12
471	national energy technology laboratory	12
676	missouri university of science and technology	12
847	det norske veritas	12
759	geosyntec consultants inc.	12
287	golder associates inc.	12
80	2hoffshore	12
353	texas tech university	12
249	adnoc	12
575	adco	12
88	heriot-watt university	12
513	sichuan university	10
473	fugro ag	10
792	university of regina	10
253	shell international exploration and production	10
297	shell exploration and production co	10
763	paradigm	10
428	louisiana state university	10
38	curistec	10
351	chevron energy technology company	10
540	maersk oil	10
810	universiti teknologi petronas	10
146	oceaneering survey services	10
318	csiro energy	10
872	school of petroleum engineering	10
574	norwegian geotechnical inst.	10
681	shell global solutions international	10
133	cathie associates	10
56	sonardyne international ltd.	10
172	chevron	8
634	university of wyoming	8
586	west virginia university	8
739	sintef petroleum research	8
737	exxonmobil upstream research company	8
198	montanuniversitat leoben	8
597	rafflesia energy	8
188	csiro energy business unit steel masons detailing service	8
734	sinopec petroleum exploration and production research institute	8
489	institute of computational mathematics and mathematical geophysics sb ras	8
129	ufrj-coppe	8
656	botswana international university of science and technology	8
567	shell	8
265	northwestern university	8
494	independent researcher	8
722	northeast natural energy llc	8
141	massachusetts institute of technology	8
262	mapsa co. and npc co.	8
119	csiro data61	8
747	southwest petroleum university	8
255	china university of geosciences	8
232	cnooc ltd.-shanghai	8
523	golder associates ltd.	8
486	csiro energy flagship	8
753	asia pacific university	8
275	incendium technologies llc	8
858	institute of mathematics sb ras	8
818	university of illinois at chicago	8
819	kyoto university	8
832	middle east oilfield services	8
835	monash university	8
419	bao jia university of kansas	8
28	ifp	8
859	petrochina	8
802	cenpes petrobras research center	8
390	institute of petroleum geology and geophysics sb ras and novosibirsk state university	8
871	rgl reservoir management inc.	8
377	pogc	8
11	imperial college london	8
889	institute of petroleum geology and geophysics sb ras	8
362	russian academy of science	8
433	university of tehran and npc co.	8
825	csiro energy business unit	8
290	lithic technology pty	8
282	university of waterloo	8
775	kansai university	8
257	zhe jiang zhenergy natural gas operation co. ltd.	6
592	pason systems	6
410	university of north dakota	6
573	engie e&p nederland b. v.	6
409	national energy technology laboratory us department of energy	6
333	ritek	6
467	kobe university	6
400	king abdullah university of science & technology	6
492	asano taiseikiso engineering co. ltd.	6
268	southwest jiaotong university kyushu university	6
209	technical university of denmark	6
394	novatek	6
205	petroleum exploration and production research institute of sinopec	6
596	southeast university	6
550	university of southern queensland	6
475	king abdulaziz city for science and technology	6
491	badley ashton and associates ltd.	6
382	geological institute	6
195	seoul national university	6
192	ge inspection technologies	6
380	china university of petroleum (east china) and university of utah	6
347	university of california berkeley	6
180	helmholtz centre potsdam gfz german research centre for geosciences	6
478	hokkaido university	6
187	delft university of technology	6
481	saudi aramco pe&d	6
185	china university of petroleum (east china)	6
613	koc	6
327	the university of the west indies	6
548	institute institute of geonics of the cas planetarium ostrava faculty of mining and geology vsb-technical university of ostrava	6
455	western university	6
312	abu dhabi gas development co ltd. al hosn gas	6
295	maersk oil and gas	6
450	ecopetrol	6
252	isterre ird and universite grenoble alpes	6
443	the petroleum institute abu dhabi	6
441	sct operations pty ltd	6
514	bashkir state university	6
519	isterre cnrs and universite grenoble alpes	6
258	yargeo	6
244	imperial college	6
435	j<sup>2</sup> geomechanics ltd.	6
434	aramco services	6
507	kyushu university	6
313	univ. grenoble alpes	6
542	universite grenoble alpes	6
237	schlumberger-doll research	6
536	riped petrochina	6
495	university of science and technology	6
429	wyoming state geological survey	6
231	ntnu	6
483	university of texas of the permian basin	6
457	rosneft oil company	6
