	name	degree
1230	rutqvist j.	80
1400	zoback m. d.	74
2898	morris j. p.	74
1432	sone h.	72
1544	johnson p. a.	72
1026	haimson b. c.	70
643	doe t. w.	68
2769	wang h. f.	68
1180	nakagawa s.	66
104	birkholzer j. t.	66
993	huang h.	64
3000	dobson p. f.	64
2543	oldenburg c. m.	64
2421	zhou j.	64
76	guglielmi y.	62
1840	ajo-franklin j.	62
1415	lord n. e.	62
831	ulrich c.	62
3112	mattson e. d.	62
2412	kneafsey t. j.	62
3055	daley t. m.	62
370	roggenthen w. m.	62
1017	wu y.	62
195	cook p. j.	62
2724	vigilante p.	62
1000	ingraham m.	62
786	heise j.	62
1453	coblentz d. d.	62
954	white j. a.	62
121	lee m. y.	62
3147	johnson t. j.	62
2799	siler d. l.	62
1581	morales adrian	60
1485	costello ian	58
3238	thomas mandy	58
1215	sharma mukul m.	56
2834	magbagbeola oluwaseun	54
2210	yates malcolm	54
505	anifowoshe olatunbosun	54
2369	crandall dustin	52
1574	carney bj	52
1980	macphail keith	52
844	kavousi payam	52
2259	hewitt jay	52
25	amini shohreh	52
492	wilson thomas	52
2040	kumar abhash	48
2399	zorn erich v.	48
475	hogarth leah	48
968	uschner natalie	48
280	carr timothy r.	48
1820	akin josiah	48
598	jordon emily	48
5	johansen asbjoern	48
1475	sharma shikha	48
1594	naseem kashif	48
2878	hammack richard	48
574	vagnetti robert	48
2057	yang xiangtong	46
1424	zhang guangqing	46
1868	deng jingen	42
668	mao sheng	42
2095	nair prakash	38
2800	hindi khaled al	38
248	tang meirong	38
1157	hazarika manoj	38
1359	mustafa mohammed mobasher	38
638	hassan said	38
1471	kubaish yasser al	38
177	dashti mohammed	38
1458	najdi faisal al	38
2867	dashti sulaiman	38
507	helal karim	38
738	joby jacob	38
982	abdelbaset shady moustafa	38
1634	carasco anant	38
2440	bandi mani	38
1822	shar'an ismail qasem mohammad al	38
1435	boushari mohammed	38
2354	jokhi ayomarz	38
888	saleh rashad mohiey	38
2383	benny naveen	38
1425	fernandes daniel	38
1454	wang lizhi	36
2658	desroches j.	34
1482	wu kan	34
301	yu wei	34
3046	zhang yang	34
2679	fan wentong	34
2939	han y.	34
945	rodriguez-herrera adrian	32
3290	jin yan	32
2428	sepehrnoori kamy	32
2094	huang yongjie	32
2910	sierra leopoldo	30
1229	al-zaidani ibrahim	30
2422	al othman mohamed	30
999	elmofti mohamed	30
2396	allam ahmed	30
630	sadeddin salma	30
2203	eid walid	30
3109	teng qi	30
959	ahmed zamzam	30
286	laer pierre van	30
252	jin y.	30
2171	al-dousari mohammed abdullah	30
3273	ahmed abdul-samad mohammed	30
1291	nilotpaul neoq	30
100	fidan erkan	30
1603	al-matrouk yousef	30
674	buhamad ali	30
355	alboueshi alaa eldine	30
603	ashkanani meshari	30
985	alimahomed farhan	28
560	stead d.	28
1097	foote alexander	28
770	narasimhan santhosh	28
2786	liu hai	28
2309	rowe harry	28
2097	rylance m.	28
3245	gensheng li	28
160	morrell austin	28
2419	qiu kaibin	28
307	mainali pukar	28
1769	zhou dawei	28
426	wang tao	28
688	shouceng tian	28
2738	pan yuanwei	28
43	hou b.	26
3154	de gennaro s.	26
2059	liu w.	26
2895	du xianfei	26
3149	sahoo hemant	26
3162	yang c. h.	26
1003	li y. p.	26
747	lebedev maxim	26
2516	pourpak h.	26
1127	li j. l.	26
2139	wang c.	26
122	dawson w.	26
3197	shi x. l.	26
2591	casero a.	26
1933	chen mian	26
766	al manji a.	26
423	white d.	26
1151	kim vitaly	24
1150	potapenko d. i.	24
2418	settgast r. r.	24
346	savinov roman	24
1166	belhouchet mohamed	24
2125	elkatatny s. m.	24
1963	wilson n.	24
1350	mazaev konstantin	24
2603	tyan oleg	24
2128	leontyev dmitry	24
1273	haddad elia	24
2484	nikifirova olga	24
2614	bochkarev vladimir	24
2477	li gensheng	24
1938	conort g.	24
386	moncada k.	24
2729	ostadhassan mehdi	24
1374	kasumov ruslan	24
2370	fj<u+00e6>r e.	24
1460	enkababian p.	24
392	theuveny b.	24
1333	mikovich m.	24
199	deslandes p.	24
2696	mikhailitsyn egor	24
535	song xianzhi	24
2553	samuel robello	24
1510	abdessalem abba	24
82	majidi reza	24
3173	surmin vladimir	24
3189	hareland g.	24
3012	neaton r.	24
123	kumar s.	24
1539	mahmoud m. a.	24
124	temizel cenk	24
711	alexeyev alan	24
3030	shakirova anastasia	24
1814	soliman m. y.	24
1562	xu shengfan	24
1545	gerlach r.	24
896	willberg d. m.	24
438	west c.	24
2912	williams r. d.	24
861	gao jian	24
3284	chen zhangxin	24
443	lebedeva irina	24
157	fogwill allan	24
79	valshin oleg	24
3126	ghassemi ahmad	24
1735	zhan jie	24
375	deplaude o.	22
3113	al zankawi omran	22
1704	ganser nathan	22
1262	arasi quadri,	22
1413	jia bao	22
3007	borges s.	22
3161	garcia s.	22
281	bearinger doug	22
3003	chemmarikattil rohan,	22
607	odumboni idowu,	22
2392	virues claudio j. j.	22
2276	oni olugbenga,	22
1216	garcia-teijeiro xavier	22
2511	huang zhongwei	22
840	osauzo sam,	22
3127	tsusaka kimikazu	22
1232	xiao j.	22
1555	basu subhayu,	22
3036	wang yuanyuan	22
2476	kuroda shintaro	22
1698	malpani raj	22
1791	sarmadivaleh m.	22
3049	shimamoto tatsuo	22
1991	qingling liu	22
593	petr christopher	22
1958	neyra o.	22
1208	al aryan ali mansour	22
655	rojas f.	22
2148	han yanhui	22
419	shastri mukesh	22
1015	campero manuel flores,	22
202	gupta pravind k.	22
19	xue j.	22
17	jiang tongwen	22
1670	liu wei	22
181	raturi sushil k.	22
1383	tokunaga hiroyuki	22
1006	osinga s.	22
2145	al safar waleed	22
1825	al ghareeb aisha yousef	22
2141	ramaswamy sunil,	22
2715	caro j. c.	22
1880	amann f.	22
1470	heiland juliane,	22
1104	lehmann jurgen	22
129	otevwemerhuere joseph,	22
2663	al hajeri mishari	22
1611	ueda kenji	22
2652	villar v.	22
3188	bojarah khaled hussain	22
407	cortes i.	22
2958	makimura dai	22
1301	de gennaro vincenzo,	22
2954	lu y.	22
2864	kallel narjes,	22
2951	vera c.	22
2750	contreras j. r.	22
2194	soto b.	22
1492	rojas c.	22
2892	naik vinay	22
2349	solovyev t.	20
3287	yang liu	20
584	liu zhibin	20
3293	raina ishan	20
821	guo y. t.	20
